Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,Credit Rating,Employed,Marriage Status
200001088,Blake,Peters,Male,43,Charlotte,Blue Collar,05.Jul.15,16457.71,655,No,Single
200001739,Warren,Gibson,Male,52,Charlotte,Blue Collar,23.Aug.15,47219.2,611,No,Widowed
400002550,Lily,Baker,Female,23,Raleigh, ,10.Oct.15,55821.07,630,N/A,Single
100002347,Leonard,Lee,Male,50,Cary,White Collar,28.Sep.15,26318.03,522,Yes,Widowed
200002349,Christian,Mackenzie,Male,59,Charlotte,Blue Collar,28.Sep.15,68406.24,295,N/A,Married or married but separated
200002426,Gavin,McLean,Male,48,Charlotte,Blue Collar,02.Oct.15,54817.88,157,No,Single
100003895,Isaac,Mitchell,Male,38,Cary,White Collar,23.Dec.15,31323.94,405,Yes,Single
100000250,Amelia,Mathis,Female,30,Cary,Blue Collar,17.Apr.15,13407.54,526,Yes,Married
200000263,Gabrielle,Marshall,Female,41,Charlotte, ,17.Apr.15,87758.52,769,No,Single
100000848,Tim,Hamilton,Male,27,Cary,White Collar,11.Jun.15,78010.57,784,No,Single
100000968,Edward,Martin,Male,38,Cary,White Collar,22.Jun.15,21138.46,433,No,Divorced or Separated
400001781,Irene,Chapman,Female,23,Raleigh, ,25.Aug.15,82229.1,278,No,Widowed
100002704,Phil,Rampling,Male,45,Cary,Blue Collar,20.Oct.15,48234.65,840,Yes,Widowed
100002849,Anna,Peters,Female,51,Cary,White Collar,27.Oct.15,79715.05,314,No,Divorced
200000766,Keith,Ross,Male,45,Charlotte,Blue Collar,31.May.15,85726.19,452,Yes,Widowed
300001204,Olivia,Langdon,Female,42,Durham,White Collar,13.Jul.15,4250.38,490,Yes,Divorced
100001542,Dorothy,White,Female,30,Cary, ,08.Aug.15,86591.86,406,N/A,Single
100001921,Donna,Marshall,Female,31,Cary,White Collar,05.Sep.15,16392.78,649,Yes,Consensual union
200002579,Isaac,Wright,Male,46,Charlotte,Blue Collar,12.Oct.15,94688.11,392,No,Widowed
300003413,Christopher,Wright,Male,44,Durham,White Collar,27.Nov.15,26502.42,406,No,Divorced
200001693,Lucas,Clarkson,Male,48,Charlotte,Blue Collar,21.Aug.15,4363.5,714,Yes,Not living together
100002474,Chloe,Powell,Female,22,Cary,Blue Collar,06.Oct.15,2301.9,157,No,Single
200002752,Sophie,Howard,Female,57,Charlotte, ,23.Oct.15,31148.7,554,Yes,Widowed
100002947,Faith,Poole,Female,49,Cary,White Collar,01.Nov.15,48099.69,703,Yes,Single
100002963,Donna,Allan,Female,37,Cary,Blue Collar,01.Nov.15,16408.46,763,No,Divorced
